,index,match_id,player_slot,radiant_win,duration,game_mode,lobby_type,hero_id,start_time,version,kills,deaths,assists,skill,leaver_status,party_size,win,steam_id,enemy_team,ally_team
5000,309,4727022248,132,0,2381,22,0,Drow Ranger,2019-05-06,,4,6,6,1.0,0,,1,232851,"[53, 20, 81, 7, 21]","[50, 58, 47, 57, 6]"
5001,310,4717028866,4,1,3123,4,0,Dark Seer,2019-05-03,21.0,9,8,25,1.0,0,3.0,1,232851,"[101, 44, 8, 2, 55]","[17, 49, 50, 69, 13]"
5002,311,4716820915,2,1,1470,22,7,Drow Ranger,2019-05-03,,4,0,8,1.0,0,,1,232851,"[37, 64, 6, 9, 17]","[119, 74, 35, 5, 33]"
5003,312,4716334017,1,1,2676,3,0,Phantom Lancer,2019-05-03,21.0,8,6,13,1.0,0,4.0,1,232851,"[35, 12, 20, 55, 45]","[42, 110, 111, 60, 103]"
5004,313,4715981092,131,0,2221,22,0,Timbersaw,2019-05-03,,8,8,18,,0,,1,232851,"[81, 21, 85, 5, 17]","[25, 93, 27, 98, 64]"
5005,314,4715658131,1,1,1761,22,7,Drow Ranger,2019-05-03,,3,4,23,2.0,0,,1,232851,"[99, 6, 64, 17, 5]","[10, 74, 85, 114, 129]"
5006,315,4715372559,129,0,2693,22,7,Drow Ranger,2019-05-03,,20,4,12,1.0,0,,1,232851,"[61, 88, 36, 21, 1]","[5, 6, 50, 74, 7]"
5007,316,4713637393,2,1,3012,4,0,Faceless Void,2019-05-02,21.0,13,6,13,,0,1.0,1,232851,"[120, 105, 41, 73, 27]","[102, 30, 62, 100, 97]"
5008,317,4712736603,3,1,2292,22,7,Juggernaut,2019-05-02,,16,2,10,1.0,0,,1,232851,"[4, 55, 30, 8, 71]","[68, 14, 35, 48, 23]"
5009,318,4711724796,0,1,1679,5,0,Dazzle,2019-05-02,,8,3,13,1.0,0,,1,232851,"[50, 31, 64, 48, 53]","[77, 13, 37, 106, 76]"
5010,319,4711533633,130,0,2702,4,0,Wraith King,2019-05-02,,7,3,9,1.0,0,,1,232851,"[47, 54, 121, 81, 76]","[86, 1, 42, 94, 19]"
5011,320,4708894806,1,1,1960,22,0,Omniknight,2019-05-01,,10,6,11,1.0,0,,1,232851,"[7, 57, 50, 1, 94]","[33, 10, 62, 42, 31]"
5012,321,4708761598,1,1,1619,22,0,Juggernaut,2019-05-01,,11,1,3,1.0,0,,1,232851,"[62, 8, 50, 35, 129]","[28, 102, 6, 26, 92]"
5013,322,4706610844,1,1,2457,4,0,Magnus,2019-04-30,21.0,4,5,21,1.0,0,1.0,1,232851,"[8, 97, 58, 84, 7]","[33, 4, 14, 15, 18]"
5014,323,4706523270,2,1,2600,4,0,Tidehunter,2019-04-30,,4,6,11,1.0,0,,1,232851,"[22, 42, 29, 37, 88]","[11, 21, 78, 87, 39]"
5015,324,4700940614,129,0,2158,22,0,Rubick,2019-04-29,21.0,7,3,19,1.0,0,1.0,1,232851,"[77, 8, 83, 16, 74]","[120, 86, 20, 23, 6]"
5016,325,4696266446,3,1,2770,22,0,Faceless Void,2019-04-27,,19,2,15,,0,,1,232851,"[30, 47, 102, 41, 64]","[56, 26, 8, 14, 13]"
5017,326,4696153567,3,1,2618,22,0,Ursa,2019-04-27,,24,2,15,1.0,0,,1,232851,"[27, 54, 13, 70, 56]","[34, 51, 35, 14, 2]"
5018,327,4695815446,130,0,2578,22,7,Drow Ranger,2019-04-27,,7,6,16,2.0,0,,1,232851,"[12, 86, 101, 59, 34]","[36, 5, 6, 47, 111]"
5019,328,4695678342,130,0,1725,22,7,Dark Seer,2019-04-27,21.0,4,2,12,1.0,0,,1,232851,"[83, 27, 59, 113, 6]","[37, 5, 55, 54, 35]"
5020,329,4692714825,130,0,3910,22,0,Venomancer,2019-04-26,,11,15,33,,0,,1,232851,"[10, 100, 70, 17, 101]","[9, 98, 40, 36, 55]"
5021,330,4692597158,3,1,2802,22,0,Drow Ranger,2019-04-26,,11,4,10,1.0,0,,1,232851,"[35, 34, 40, 6, 7]","[12, 92, 20, 45, 22]"
5022,331,4689217395,2,1,2845,22,0,Venomancer,2019-04-25,,12,12,24,1.0,0,,1,232851,"[74, 41, 40, 45, 49]","[7, 129, 105, 100, 8]"
5023,332,4688950500,131,0,1784,22,0,Drow Ranger,2019-04-25,,3,2,9,1.0,0,,1,232851,"[104, 84, 53, 114, 15]","[74, 28, 27, 6, 26]"
5024,333,4688235693,3,1,2594,22,0,Venomancer,2019-04-25,,1,14,25,,0,,1,232851,"[53, 59, 112, 40, 67]","[35, 14, 71, 22, 120]"
5025,334,4685676091,130,0,2242,22,0,Shadow Shaman,2019-04-24,,6,7,12,1.0,0,,1,232851,"[79, 74, 48, 49, 30]","[25, 70, 27, 99, 5]"
5026,335,4685599085,0,1,777,22,0,Venomancer,2019-04-24,,0,1,1,1.0,0,,1,232851,"[40, 58, 42, 36, 46]","[104, 101, 53, 74, 8]"
5027,336,4685399148,132,0,2007,22,0,Phantom Assassin,2019-04-24,,11,4,14,1.0,0,,1,232851,"[84, 72, 50, 104, 68]","[88, 63, 99, 31, 44]"
5028,337,4683118799,130,0,2988,22,0,Venomancer,2019-04-23,21.0,16,3,27,1.0,0,5.0,1,232851,"[49, 2, 35, 6, 91]","[32, 50, 40, 36, 4]"
5029,338,4682995766,3,1,2089,22,0,Venomancer,2019-04-23,,17,4,27,1.0,0,,1,232851,"[17, 65, 50, 40, 93]","[99, 13, 74, 14, 86]"
5030,339,4677483156,129,0,2241,22,7,Vengeful Spirit,2019-04-21,,3,8,19,2.0,0,,1,232851,"[121, 70, 82, 120, 26]","[69, 20, 6, 50, 42]"
5031,340,4677364316,129,0,3455,22,7,Warlock,2019-04-21,,3,9,35,2.0,0,,1,232851,"[62, 6, 29, 25, 111]","[129, 37, 86, 50, 67]"
5032,341,4677150524,4,1,1924,22,7,Shadow Shaman,2019-04-21,,7,4,19,1.0,0,,1,232851,"[81, 64, 22, 35, 27]","[41, 11, 99, 26, 74]"
5033,342,4673365846,1,1,3316,22,0,Witch Doctor,2019-04-20,,13,10,19,,0,,1,232851,"[106, 30, 105, 67, 25]","[14, 47, 22, 35, 45]"
5034,343,4673177421,1,1,1915,22,0,Venomancer,2019-04-20,,9,2,20,1.0,0,,1,232851,"[44, 40, 62, 59, 112]","[91, 36, 72, 20, 35]"
5035,344,4669915076,132,0,2053,4,0,Sven,2019-04-19,,3,8,22,1.0,0,,1,232851,"[96, 30, 21, 121, 44]","[5, 72, 114, 99, 18]"
5036,345,4666059386,130,0,2318,22,7,Dark Seer,2019-04-18,21.0,2,5,11,2.0,0,3.0,1,232851,"[86, 10, 17, 42, 21]","[53, 1, 55, 34, 16]"
5037,346,4665227773,128,0,2813,22,0,Dark Seer,2019-04-18,,2,4,20,,0,,1,232851,"[14, 4, 65, 67, 102]","[55, 99, 88, 94, 29]"
5038,347,4665053051,0,1,2067,5,0,Morphling,2019-04-18,,3,4,5,1.0,0,,1,232851,"[10, 60, 108, 81, 61]","[89, 20, 31, 79, 18]"
5039,348,4663205104,131,0,3427,22,0,Lion,2019-04-17,,5,12,16,,0,,1,232851,"[10, 86, 105, 129, 74]","[62, 36, 22, 26, 67]"
5040,349,4659177089,131,0,2294,4,0,Disruptor,2019-04-16,,8,5,17,1.0,0,,1,232851,"[99, 32, 68, 39, 13]","[34, 18, 14, 87, 90]"
5041,350,4657741467,1,1,1878,22,0,Underlord,2019-04-16,,4,8,13,1.0,0,,1,232851,"[51, 108, 8, 4, 25]","[26, 110, 114, 14, 43]"
5042,351,4657112906,4,1,3212,3,0,Enigma,2019-04-16,,7,10,16,1.0,0,,1,232851,"[1, 26, 85, 32, 33]","[64, 10, 70, 71, 35]"
5043,352,4655936624,3,1,2758,22,0,Dark Seer,2019-04-15,,6,6,17,1.0,0,,1,232851,"[86, 1, 32, 55, 36]","[23, 68, 44, 77, 7]"
5044,353,4655274423,1,1,3978,22,7,Drow Ranger,2019-04-15,,20,7,31,,0,,1,232851,"[5, 6, 129, 35, 62]","[26, 96, 23, 8, 9]"
5045,354,4652952335,129,0,1883,22,0,Nyx Assassin,2019-04-14,,12,6,12,1.0,0,,1,232851,"[86, 14, 19, 109, 74]","[6, 88, 9, 64, 94]"
5046,355,4652802748,3,1,3491,22,7,Dark Seer,2019-04-14,,3,8,24,,0,,1,232851,"[11, 87, 53, 55, 6]","[54, 26, 21, 30, 23]"
5047,356,4644289489,132,0,2849,22,0,Dark Seer,2019-04-12,,4,2,23,,0,,1,232851,"[26, 95, 98, 14, 33]","[75, 67, 59, 16, 55]"
5048,357,4644123078,2,1,3403,4,0,Batrider,2019-04-12,,5,10,26,,0,,1,232851,"[39, 75, 65, 93, 2]","[38, 60, 120, 68, 25]"
5049,358,4641080921,2,1,2282,22,0,Keeper of the Light,2019-04-11,,1,4,22,1.0,0,,1,232851,"[56, 114, 90, 99, 64]","[14, 26, 11, 71, 44]"
5050,359,4641015873,2,1,2191,22,0,Dragon Knight,2019-04-11,,12,3,6,1.0,0,,1,232851,"[44, 113, 49, 84, 16]","[40, 48, 51, 86, 21]"
5051,360,4640942183,2,1,2062,22,0,Dark Seer,2019-04-11,,5,2,17,1.0,0,,1,232851,"[23, 105, 55, 95, 16]","[44, 50, 104, 100, 41]"
5052,361,4640799737,3,1,2296,4,0,Tidehunter,2019-04-11,,1,5,15,1.0,0,,1,232851,"[93, 2, 21, 29, 57]","[79, 73, 99, 1, 39]"
5053,362,4639657591,4,1,2523,22,0,Dark Seer,2019-04-11,,4,3,24,,0,,1,232851,"[25, 26, 35, 16, 55]","[106, 84, 31, 14, 22]"
